InvoiceNo,Store,ItemCategory,Price,Quantity,TotalAmount,Date,PaymentMethod,Discount_Percentage,Discount_Amount,Net_Sales_Amount,Effective_Discount_Per_Item,,
INV01178,Store B,Shoes,146.79,4,587.16,2021-08-14T18:41:07.9728430,Credit Card,12.00%,17.61,70.46,4.40,,
INV01936,Store B,Accessories,43.05,2,86.1,2021-08-14T18:41:07.9728430,Cash,10.00%,4.31,8.61,2.15,,
INV01525,Store A,Jackets,51.97,1,51.97,2021-08-14T18:41:07.9728430,Debit Card,10.00%,5.20,5.20,5.20,,
INV00704,Store A,Dresses,184.41,1,184.41,2021-08-14T18:41:07.9728430,Cash,15.00%,27.66,27.66,27.66,,
INV00491,Store A,Jeans,36.75,3,110.25,2021-08-14T18:41:07.9728430,Debit Card,10.00%,3.68,11.03,1.23,,
INV01646,Store C,T-Shirts,116.66,4,466.64,2021-08-14T18:41:07.9728430,Debit Card,12.00%,14.00,56.00,3.50,,
INV01292,Store A,Jeans,128,3,384,2021-08-14T18:41:07.9728430,Online Payment,12.00%,15.36,46.08,5.12,,
INV00218,Store C,Accessories,54.35,3,163.05,2021-08-14T18:41:07.9728430,Debit Card,10.00%,5.44,16.31,1.81,,
INV01986,Store B,Shoes,100.36,3,301.08,2021-08-14T18:41:07.9728430,Credit Card,12.00%,12.04,36.13,4.01,,
INV01953,Store B,Shoes,193.95,4,775.8,2021-08-14T18:41:07.9728430,Online Payment,15.00%,29.09,116.37,7.27,,
INV01662,Store C,Shoes,194.6,4,778.4,2021-08-14T18:41:07.9728430,Cash,15.00%,29.19,116.76,7.30,,
INV01957,Store B,T-Shirts,166.68,4,666.72,2021-08-14T18:41:07.9728430,Debit Card,15.00%,25.00,100.01,6.25,,
INV00685,Store B,Jackets,98.94,3,296.82,2021-08-14T18:41:07.9728430,Cash,10.00%,9.89,29.68,3.30,,
INV00534,Store B,Jackets,94.64,3,283.92,2021-08-15T18:41:07.9728430,Credit Card,10.00%,9.46,28.39,3.15,,
INV00216,Store B,Dresses,122.1,3,366.3,2021-08-15T18:41:07.9728430,Debit Card,12.00%,14.65,43.96,4.88,,
INV00797,Store A,T-Shirts,37.56,1,37.56,2021-08-15T18:41:07.9728430,Debit Card,10.00%,3.76,3.76,3.76,,
INV00994,Store A,Shoes,161.04,3,483.12,2021-08-15T18:41:07.9728430,Online Payment,15.00%,24.16,72.47,8.05,,
INV01510,Store A,Dresses,79.64,2,159.28,2021-08-15T18:41:07.9728430,Credit Card,10.00%,7.96,15.93,3.98,,
INV01862,Store B,Shoes,192.33,3,576.99,2021-08-15T18:41:07.9728430,Credit Card,15.00%,28.85,86.55,9.62,,
INV01130,Store B,Jeans,62.8,1,62.8,2021-08-16T18:41:07.9728430,Debit Card,10.00%,6.28,6.28,6.28,,
INV00472,Store A,Shoes,197.49,3,592.47,2021-08-16T18:41:07.9728430,Cash,15.00%,29.62,88.87,9.87,,
INV01293,Store C,Shoes,139.62,4,558.48,2021-08-16T18:41:07.9728430,Cash,12.00%,16.75,67.02,4.19,,
INV00848,Store C,T-Shirts,66.32,2,132.64,2021-08-16T18:41:07.9728430,Credit Card,10.00%,6.63,13.26,3.32,,
INV01990,Store A,Dresses,28.45,3,85.35,2021-08-16T18:41:07.9728430,Cash,10.00%,2.85,8.54,0.95,,
INV01562,Store C,Jackets,51.41,4,205.64,2021-08-16T18:41:07.9728430,Debit Card,10.00%,5.14,20.56,1.29,,
INV01490,Store A,Jeans,186.73,2,373.46,2021-08-16T18:41:07.9728430,Cash,15.00%,28.01,56.02,14.00,,
INV01342,Store A,Jackets,127.48,3,382.44,2021-08-16T18:41:07.9728430,Online Payment,12.00%,15.30,45.89,5.10,,
INV00849,Store C,Dresses,73.37,4,293.48,2021-08-17T18:41:07.9728430,Online Payment,10.00%,7.34,29.35,1.83,,
INV01501,Store C,Accessories,178.16,2,356.32,2021-08-17T18:41:07.9728430,Debit Card,15.00%,26.72,53.45,13.36,,
INV00001,Store C,T-Shirts,143.47,1,143.47,2021-08-17T18:41:07.9728430,Cash,12.00%,17.22,17.22,17.22,,
INV01633,Store B,Shoes,46.21,2,92.42,2021-08-17T18:41:07.9728430,Credit Card,10.00%,4.62,9.24,2.31,,
INV01760,Store C,Jackets,51.14,4,204.56,2021-08-17T18:41:07.9728430,Online Payment,10.00%,5.11,20.46,1.28,,
INV01355,Store A,Jeans,45.05,3,135.15,2021-08-18T18:41:07.9728430,Online Payment,10.00%,4.51,13.52,1.50,,
INV01458,Store A,T-Shirts,41.28,1,41.28,2021-08-18T18:41:07.9728430,Online Payment,10.00%,4.13,4.13,4.13,,
INV01518,Store A,Jeans,137.22,4,548.88,2021-08-18T18:41:07.9728430,Debit Card,12.00%,16.47,65.87,4.12,,
INV01742,Store A,Shoes,177.1,3,531.3,2021-08-18T18:41:07.9728430,Cash,15.00%,26.57,79.70,8.86,,
INV01761,Store B,Shoes,78.87,2,157.74,2021-08-18T18:41:07.9728430,Online Payment,10.00%,7.89,15.77,3.94,,
INV00111,Store A,Jackets,136.49,1,136.49,2021-08-18T18:41:07.9728430,Cash,12.00%,16.38,16.38,16.38,,
INV01611,Store A,Jeans,77.59,1,77.59,2021-08-19T18:41:07.9728430,Credit Card,10.00%,7.76,7.76,7.76,,
INV00610,Store B,T-Shirts,124.85,1,124.85,2021-08-19T18:41:07.9728430,Credit Card,12.00%,14.98,14.98,14.98,,
INV00312,Store C,Dresses,123.43,1,123.43,2021-08-19T18:41:07.9728430,Debit Card,12.00%,14.81,14.81,14.81,,
INV01037,Store B,Accessories,170.12,2,340.24,2021-08-19T18:41:07.9728430,Cash,15.00%,25.52,51.04,12.76,,
INV00325,Store B,Shoes,51.19,2,102.38,2021-08-19T18:41:07.9728430,Debit Card,10.00%,5.12,10.24,2.56,,
INV00020,Store B,Shoes,41.07,2,82.14,2021-08-19T18:41:07.9728430,Credit Card,10.00%,4.11,8.21,2.05,,
INV01068,Store B,T-Shirts,67.92,2,135.84,2021-08-20T18:41:07.9728430,Online Payment,10.00%,6.79,13.58,3.40,,
INV00781,Store C,Dresses,148.22,3,444.66,2021-08-20T18:41:07.9728430,Online Payment,12.00%,17.79,53.36,5.93,,
INV01672,Store B,Jeans,195.95,1,195.95,2021-08-20T18:41:07.9728430,Online Payment,15.00%,29.39,29.39,29.39,,
INV00523,Store C,Accessories,88.18,4,352.72,2021-08-20T18:41:07.9728430,Debit Card,10.00%,8.82,35.27,2.20,,
INV01295,Store B,Jeans,182.38,2,364.76,2021-08-20T18:41:07.9728430,Credit Card,15.00%,27.36,54.71,13.68,,
INV01446,Store A,T-Shirts,35.09,4,140.36,2021-08-20T18:41:07.9728430,Online Payment,10.00%,3.51,14.04,0.88,,
INV00002,Store B,Jackets,47.56,4,190.24,2021-08-20T18:41:07.9728430,Cash,10.00%,4.76,19.02,1.19,,
INV00094,Store C,Dresses,109.28,2,218.56,2021-08-20T18:41:07.9728430,Credit Card,12.00%,13.11,26.23,6.56,,
INV01148,Store B,Accessories,23.09,1,23.09,2021-08-20T18:41:07.9728430,Cash,10.00%,2.31,2.31,2.31,,
INV01636,Store C,Jackets,114.38,3,343.14,2021-08-21T18:41:07.9728430,Debit Card,12.00%,13.73,41.18,4.58,,
INV01591,Store B,Jackets,187.42,1,187.42,2021-08-21T18:41:07.9728430,Cash,15.00%,28.11,28.11,28.11,,
INV01412,Store C,Shoes,145.5,1,145.5,2021-08-21T18:41:07.9728430,Cash,12.00%,17.46,17.46,17.46,,
INV01829,Store C,Accessories,59.53,2,119.06,2021-08-21T18:41:07.9728430,Debit Card,10.00%,5.95,11.91,2.98,,
INV00569,Store B,T-Shirts,59.79,2,119.58,2021-08-21T18:41:07.9728430,Credit Card,10.00%,5.98,11.96,2.99,,
INV00726,Store C,Jackets,136.7,3,410.1,2021-08-21T18:41:07.9728430,Credit Card,12.00%,16.40,49.21,5.47,,
INV00154,Store B,Accessories,125.83,3,377.49,2021-08-21T18:41:07.9728430,Cash,12.00%,15.10,45.30,5.03,,
INV00155,Store C,Jackets,127.97,3,383.91,2021-08-22T18:41:07.9728430,Online Payment,12.00%,15.36,46.07,5.12,,
INV01569,Store B,Jackets,149.58,4,598.32,2021-08-22T18:41:07.9728430,Online Payment,12.00%,17.95,71.80,4.49,,
INV01980,Store B,Jeans,41.57,2,83.14,2021-08-22T18:41:07.9728430,Debit Card,10.00%,4.16,8.31,2.08,,
INV00432,Store A,Jeans,18.45,3,55.35,2021-08-22T18:41:07.9728430,Cash,10.00%,1.85,5.54,0.62,,
INV01475,Store A,Accessories,102.27,1,102.27,2021-08-22T18:41:07.9728430,Cash,12.00%,12.27,12.27,12.27,,
INV01009,Store A,Shoes,121.7,4,486.8,2021-08-22T18:41:07.9728430,Debit Card,12.00%,14.60,58.42,3.65,,
INV01425,Store A,Shoes,181.96,1,181.96,2021-08-23T18:41:07.9728430,Cash,15.00%,27.29,27.29,27.29,,
INV00963,Store B,Jeans,131.97,1,131.97,2021-08-23T18:41:07.9728430,Debit Card,12.00%,15.84,15.84,15.84,,
INV00821,Store B,Jeans,79.78,3,239.34,2021-08-23T18:41:07.9728430,Online Payment,10.00%,7.98,23.93,2.66,,
INV01167,Store A,Jackets,155.57,1,155.57,2021-08-23T18:41:07.9728430,Online Payment,15.00%,23.34,23.34,23.34,,
INV00596,Store B,Jackets,60.83,2,121.66,2021-08-23T18:41:07.9728430,Debit Card,10.00%,6.08,12.17,3.04,,
INV01677,Store A,Accessories,186.65,2,373.3,2021-08-23T18:41:07.9728430,Cash,15.00%,28.00,56.00,14.00,,
INV00925,Store B,Jeans,125.5,3,376.5,2021-08-23T18:41:07.9728430,Credit Card,12.00%,15.06,45.18,5.02,,
INV01510,Store A,Jackets,97.34,3,292.02,2021-08-23T18:41:07.9728430,Cash,10.00%,9.73,29.20,3.24,,
